zmienna;wyrob;okres;wartosc
zamowienie;4;10;0
zapas_poczatek;4;10;149
popyt;4;10;149
zapas_koniec;4;10;0
czy_zamawiac;4;10;0
zamowienie;4;11;168
zapas_poczatek;4;11;168
popyt;4;11;48
zapas_koniec;4;11;120
czy_zamawiac;4;11;1
zamowienie;4;12;0
zapas_poczatek;4;12;120
popyt;4;12;120
zapas_koniec;4;12;0
czy_zamawiac;4;12;0
zamowienie;4;13;306
zapas_poczatek;4;13;306
popyt;4;13;123
zapas_koniec;4;13;183
czy_zamawiac;4;13;1
zamowienie;4;14;0
zapas_poczatek;4;14;183
popyt;4;14;56
zapas_koniec;4;14;127
czy_zamawiac;4;14;0
zamowienie;4;15;0
zapas_poczatek;4;15;127
popyt;4;15;25
zapas_koniec;4;15;102
czy_zamawiac;4;15;0
zamowienie;4;16;0
zapas_poczatek;4;16;102
popyt;4;16;102
zapas_koniec;4;16;0
czy_zamawiac;4;16;0
zamowienie;4;17;98
zapas_poczatek;4;17;98
popyt;4;17;98
zapas_koniec;4;17;0
czy_zamawiac;4;17;1
zamowienie;5;1;39
zapas_poczatek;5;1;39
popyt;5;1;3
zapas_koniec;5;1;36
czy_zamawiac;5;1;1
zamowienie;5;2;0
zapas_poczatek;5;2;36
popyt;5;2;9
zapas_koniec;5;2;27
czy_zamawiac;5;2;0
zamowienie;5;3;0
zapas_poczatek;5;3;27
popyt;5;3;14
zapas_koniec;5;3;13
czy_zamawiac;5;3;0
zamowienie;5;4;0
zapas_poczatek;5;4;13
popyt;5;4;13
zapas_koniec;5;4;0
czy_zamawiac;5;4;0
zamowienie;5;5;45
zapas_poczatek;5;5;45
popyt;5;5;19
zapas_koniec;5;5;26
czy_zamawiac;5;5;1
zamowienie;5;6;0
zapas_poczatek;5;6;26
popyt;5;6;11
zapas_koniec;5;6;15
czy_zamawiac;5;6;0
zamowienie;5;7;0
zapas_poczatek;5;7;15
popyt;5;7;1
zapas_koniec;5;7;14
czy_zamawiac;5;7;0
zamowienie;5;8;0
zapas_poczatek;5;8;14
